id,genre,genre_jpn
19,seo,SEO
18,money,金銭
17,kaigo,介護
16,cosme,コスメ
15,gourmet,グルメ
14,clean,清掃
13,zeirishi,税理士
12,office,オフィス
11,fuzoku,風俗
10,renew,リニューアル
9,gift,ギフト
8,data,データ
7,wedding,結婚
6,car,自動車
5,recruit,求人
4,IP100,IP100
3,IP200,IP200
2,adult,アダルト
1,biyou,美容
20,school,学校
21,recycle,リサイクル
22,travel,旅行
23,fudousan,不動産
24,fashion,ファッション
25,home,家庭
