Post.id,Post.blog_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,52,"パティシエになりたい！
",,traveler,昔からお菓子やケーキが大好きなので、それに関係したお仕事がしたいです。特に、自分で作れるパティシエになりたいです！でも、いまいちなにをどうしたらいいのか分かりません。いきなりパティシエになることは、どうやらできないようです。お菓子やケーキを食べるのは大好きですが、自分で作ったことはありません。自分で作った経験とかがないと、パティシエにはなれないそうです。お菓子工場とかケーキ工場とかで、下積みをしていないといけないようです。じゃないと、有名なお店とかホテルで雇ってくれないそうです。もちろん、すごい技術がないと自分でお店をやったりすることはできないので、その基本的なところを学ぶためにも、工場とかで働くんだそうです。ただ、パティシエは体力がないとダメなんですって。お菓子作りは仕込み段階が多いので、これらをすごい長い時間、ずっとできるだけの体力が必要だそうです。それも、椅子とかに座ってやってはいけないので、ずっと立ったままだそうです。ただでさえセンスがあるか怪しいのに、体力のお話もあってしまうとどうにもやる気がなくなっちゃいます。センスだけでも体力だけでもできない、結構過酷な世界なんですね。いきなり向上に行くのも不安なので、専門学校に通ってみようと思います。パティシエも、専門学校があるんですね。そこでしっかりできれば、きっと夢のパティシエになれると思います。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,54,歯医者さんの基準,,ryokana ,昔の彼女が作業療法士の専門学校に通っていましたが、大きな病院に行くと作業療法士ってけっこういるみたい。まだまだ五体満足で仕事もやれる体だからお世話になることもないですが、歳を取ったらどうなるか分かりませんね。ちょっとお茶を入れるだけでも年寄りには大儀ですし、老人の人数と増えていく比率からして需要は増えていくはず。俺は口に握りこぶしが入るぜ！とできもしないことに挑戦したらそのまま口からこぶしが抜けなくなっちゃった。言語聴覚士の専門学校に行っている妹からは怒られたけれど、とてもいい経験になったと興奮している。口が今までよりも大きく開けられるようになったし、無理をして拳を口の中に入れてはいけないということを勉強させられた。大阪で脱毛のお店に行ってきたんだけど、まあすぐにまた生えてきちゃうね。頭の毛はもうほとんど残っていないくせに、どうしてこういうムダ毛ばかり生えてくるのやら。人間だってそうだ。ろくでもないカスみたいな連中がしぶとく生きているのに、生き残るべき人間が次々に死んでいく。僕はいつかやりますよ。この世界に生え残っているムダ毛を一本残らず除毛してやります。ジョギングで神宮前を走っているのですが、神宮前にメンズエステなんてあったんですね。僕のジョギングは美容と健康のためにやっているくらいだから、メンズエステにも興味津々。エステ自体が初めてだったので少々緊張はしたものの、スタッフさんが言うにはみんなそんなものらしい。オススメのヒゲ脱毛をして帰りましたが、プロの脱毛テクは全然違いますね。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,50,専門的な知識,,buildinga,昔は給料が良いってんでプログラマーが持てはやされたと聞きます。今では逆にプログラマー目指す人が多すぎちゃって、しかも中国だとかの海外プログラマーが安い。当然競争も激しいから、せっかくシステムエンジニア専門学校で勉強しても、仕事があまりないみたいですね。あるにはあるのですが、専門性に反して給料が良くなかったり、待遇が最悪だったり。でもシステムエンジニアに限らず、どんな専門職でも好きだからやれるんですよね。お菓子の専門学校には女性のイメージがありますが、普通に男性の姿も多いんですよ。というかケーキなんかの洋菓子作りって力仕事の部分も多いから、男の世界でもあるんです。たぶん洋菓子店の厨房に行けば、男性の姿が普通に見えるんじゃないかな？世界的にも有名なパティシエって、大抵男性じゃないですか。もちろん女性でも素晴らしい洋菓子職人はいますし、まあ結婚とかしちゃうから女性は商売としては長続きさせづらいんでしょうね。少々事情があり、東京の通信制高校を卒業しました。こういう高校に通う人は似た者同士なところがあって、僕にそっくりな人が沢山いましたよ。友達も沢山出来て、僕の家に呼んだら家族が友達と僕との区別がつかないで困ってましたね。そんなこんなで、通信制高校ではかなり充実した学校生活を楽しむことができました。卒業後は専門学校に行った友人もいたけれど、僕は普通に大学進学。今は司法書士の資格を取得し、事務所を独立開業しています。関西で作業療法士の専門学校に進学したいなら、こちらに資料請求を。オープンキャンパスも高校１年生・２年生歓迎中なので、お気軽にお問合せしてみてください。作業療法士とはどういったお仕事なのか、どうやって学んでいくのか、こちらでよく確認してみましょう。進路に迷いがあるなら、スーパーITエンジニアなど多くの専攻を持つこのITの専門学校を進学先の候補として調べてみてください。ITスキルを持てば将来の可能性が広がります。ロボット学を学べる専攻もあるので、身に付けるスキルの選択肢もこの学校なら多いですよ。ネットを使わない日の方が確実に少ない現代ではweb専門学校へ入学する人が沢山います。こちらのweb専門学校ではウェブデザイナーとしてだけでなく、コンテンツ企画やアプリ開発のプログラムも勉強できます。ここでwebクリエイターやマークアップエンジニアを目指す仲間と一緒に学ぶことが、目標達成の近道になるかも。社会で活躍したい、コミュニケーション能力を磨きたい、そして何より自分の声に自信を持ちたいなら、このボイストレーニングスクールにお越しください。営業をやっている方や面接をどうしてもクリアしたいという方にも好評のスクールです。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,121,専門学校,traveler,,ソフトウェアを作りたくて情報処理の専門学校に行った友達は、卒業後はシステムエンジニアとかインテグレーターになったらしい。横文字の仕事ってうらやましいわ～。本人はITの専門学校でウェブデザイナーを目指したほうが良かったというが、システムエンジニアなんてかっこよさげな仕事に何の不満があるのかしら？よく外に出ていたおじいさんも、体が動かなくなるとめっきりでなくなってしまった。こうなるとボケが始まってきて、その進行も早くなるそうだ。ウチの爺さんはボケてきたかな？と思った矢先に死んでしまったので何とも言えないが、動かなくなるとボケはじめるのが真実なら、作業療法士ってこの先必要だよね。自分でできることは極力自分でやりたいと思うのは老人も同じだし。バイクを長持ちさせるには定期的にエンジンをかけるのが大切。老人も多少体が痛くても動かしたほうが良いそうですね。作業療法士の姉から聞きましたが、ボケないお年寄りってのは毎日散歩したり、畑仕事で現役バリバリで働いているとか。思えば大学生の時引きこもっていたら簡単な足し算引き算もできなくなって焦りましたわ。学生の時から小規模な飲み会の幹事をやってました。なんでみんな幹事だとかイベント主催者の役をやりたがらないのか不思議ですね。まずイベントを企画してスタッフを集める。これは人脈が必要だし、言うことを聞かない奴もいるので骨が折れる。でもそんな奴らとイベントを運営していくのは楽しいですよ。すごいビッグイベントを作り上げたのに誰もお客がやってこなかったときは泣きましたけどね。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,107,成長するためにもね,ryokana ,,どんな世界でも進歩と衰退ってありますよね。 昔はもっとレベルが高かったとか、懐古主義者の意見もよく耳にしますが、実際のところはどうなのでしょうか。 人気のある世界っていうのは、自然と競争が激しくなるので、その中で一番を目指そうとしてレベルが上がっていきます。 独学でもできるはずなのにボイストレーニングを受けたり、専門学校に行って教育を受ける人はそういう競争が欲しくて通うのでしょう。 理屈で言えば、誰かの教えを請わなくても、専門書や参考書があれば勝手に勉強して上に登って行けるものです。 しかし一人だと自分がどれくらいの速度で進歩しているのかが分からないし、プロを目指すのであれば客観的に事故を判断する必要があります。 人によっては独学で上り詰めてきた実績があるのか、専門学校に行っても何も身につかないからやめとけという人もいますよね。 さすがに商売でやっている専門学校の講師ですから、ガチで使い物にならないような育成方法はしないはずです。 業界を知っているのなら、その生徒が業界で戦力になるのかくらいはわかるはず。 専門学校生の得なところは、自分のレベルを客観的に見たうえで判断してもらえるという点が大きいのではないでしょうか。歯科衛生士になるには、良い専門学校に進学することが大切。大阪のこの専門学校なら、講義・演習・試験対策ともに申し分ありません！夜間部もあり社会人入学も応援してくれているので、働きながらも無理なく勉強できますよ。ゲームプログラマの専門学校で次世代を熱狂させるゲームプログラマーに！最新技術はもちろん、「売れる」ゲームの創り方まで教えてくれるこの専門学校に入学すれば、将来斬新なゲームを創って時代を沸かせるゲームクリエイターになることも夢ではなくなるかも！？アイデアや発想力を磨き、制作技術をしっかり教えてくれる専門学校がこちらです。作業療法士の資格を取るならば、4年制で専門知識と技術がしっかり身につくこの専門学校で資格の勉強を。4年かけて試験勉強をする形になるので、勉強も無理なく自然と身に付きます。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,108,求めるレベル,buildinga,,ネットワーク社会と化した現在では、企業にとってPCとなくてはならない存在ですね。そんなPCを扱う仕事が主流になってきた事もあり、コンピューターを扱う技術者用の国家資格が一つ設けられています。情報処理技術者試験と名付けられたこの資格は経済産業省が行う国家試験を通過した人物に与えられる国家資格でスキルレベルごとに1～4までの区分分けがされていて、情報処理技術者が共通に備えておくべき基礎的な知識があり、情報技術を活用していこうとしている者はスキルレベル１。高度ITとなるために必要な基本的知識や技術を所有し、実践的活用ができる者をスキルレベル2。高度ITとなるために必要な基本的知識や技術を所有し、また、高度IT人材としての方向性を確立することができている者をスキルレベル3。高度IT人材として確立した専門分野を持っていて、なおかつ手動ができる者をスキルレベル4とし、またスキルレベル4の試験を高度情報処理技術者試験と呼びます。位置づけとしては能力認定試験であるとされていますが、自衛隊の予備自衛官補や警視庁特別捜査官の任用資格の一つとされていつ他、試験合格者には一時金や資格手当といった報奨金制度を設けている企業があったりと、採用する企業からはかなり高い評価を受けている資格だと言えますねPCのスキルや資格を取得できる情報処理関連の専門学校は多く、資格修得の際のリターンも結構大きいと思うので、IT企業を目指している方や専門学校を検討している方は是非狙ってみたらいかがでしょうか。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,148,ゲームが大好きだったから,,travel,プログラマの専門学校を卒業後、ゲームソフトの製作会社に就職しました。本音を言えば、ゲーム会社で働きたいと思っている子は、昔に比べて減ったと思います。ゲームそのものがつまらなくなってるんですよね。専門学校では主にc言語を勉強しており、同じ学校のｃｇ科や３Dモデリング科の知り合いと一緒にゲームを作ったこともあります。シナリオ科の子が10人くらい集まってきてシナリオを担当するということだったのですが、全く脚本が上がらずに全員行方不明になりました。先輩曰く、ゲーム制作ではよくあることらしい。そもそも作っていたのがパズルゲームだったので、シナリオなんて必要なかったのですが。専門学校の講師はけっこう変わり者が多くて、やはりこういう技術系の人間というのは一分の例外も無く変人ですね。むしろ変態と呼ばれることに興奮するタイプでした。講師の先生には、火星人というあだ名の先生がおり、あらゆるジャンルのゲームを開発してきたとのこと。一人でFPSとか格闘ゲームなど、難易度の高いジャンルを完成させてました。かなり有名なゲームソフトメーカーに勤務しており、主にゲームエンジンの開発主任として活躍していたとのこと。なんでそんな超人が専門学校の講師をしているのかは不明ですが、僕も先生みたいなゲームプログラマーを目指して頑張っています。,1,,フィリピンへの留学はこちら,http://www.cebu21.jp/,1,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
