Post.id,Post.genre_id,Post.title,Post.pagename,Post.menu,Post.content,Post.public,Keyword.id,Keyword.keyword,Keyword.url,Keyword.visible,Arbitrary.keyword
,11,毎日楽しい郊外キャバクラ,,,私は郊外のキャバクラで４年働いていました。最初は緊張して私なんかがキャバクラで働けるのかってすごい不安でした。元々お酒は好きでそんなに弱くもなく二日酔いにもならないので飲みキャラとして定着していました。人見知りをするタイプだったのでお酒には大分助けられました。お酒が入ると話すことも楽しく天職だなんて思っていました。なによりタダ酒が飲めるのでヘルプで着けばボトルを減らし自分からお酒飲んで良いかさりげなく聞く事もし本指の女の子にも気に入られ場内にしてくれてこちらのポイントにもなります。私は性格的にどのお客さんの席にいてもスタッフが安心できるらしく良い様に使われていましたがお酒も飲め気にいって貰えば自分のポイントにもなるので良い様に使われていても全然苦じゃありません。ポイント表が張られていたのですが常に真ん中をキープしイベントや調子のいい時は上位にいます。元々目立ちたくなく何事も普通が良かったので満足しています。郊外という事もあってキャスト同士もギスギスしておらず仲のいい子同士は協力し合っていました。年齢もバラバラでしたが同じ仕事をしている為か気が合うんです。お店自体も緩くノルマはありましたが待機中はキッチンでお酒を飲みながら女子会になっていました。仕事が終り時間があれば皆で飲みに行ったりクリスマスは皆でケンタッキーやハンバーガーを持ち込みお店でパーティーしていました。お客さんもそこまで癖があるわけでもなく和気藹々とした雰囲気でした。カラオケがあるお店ではなく落ち着いた雰囲気で場所も若いお客さんよりは年配の方が多いので紳士的な方が多く優しく面白い方ばかりです。調子に乗ってお客さん達とウォッカを飲んだり危ない飲み方もしましたが楽しいひと時でした。知らない話も聞け知識も増えました。高級なお店のマナーなども教わりました。成績に拘りすぎず楽しい環境のキャバクラだったので長続きし楽しかったんだと思います。今は昼職のみになり辞める時は悩みましたが辞める最終日皆に祝っていただきました。働いて良かったです。キャバクラ仲間とは今でも連絡を取り合い時に飲みに行っています。お金欲しさに始めたキャバクラですがお金も増え友達もでき充実した日々が送れ楽しかったです。,1,,仙台キャバクラはこちら,http://xn--ncke2h5c6a5349avph.jp/,1,0
,26,夜のお仕事で幸せをつかみました,kinyuu,,実は私は23歳の時にキャバクラで働いたことがあります。当時は私も夜の仕事には偏見もあったし自分にできるわけがないしやりたくないと思っていました。でも大学を卒業してどこからも内定をもらえず就活浪人になった私は社会に出て働くことが向いていないのかもしれないと思い半ば投げやりな気持ちになりながらも勇気を出してキャバクラの面接に行ったのでした。初めて勤務したお店はノルマや罰金があるお店でとてもひどい目にあいました。3ヶ月くらいして違う店に移りキャバクラ嬢として合計半年間働きました。この時は普段会うことのない年上の男性といろいろお話しできて視野が広がりました。会話を盛り上げる方法もわかるようになっていきました。いい経験にはなりましたが就職が決まったのと同時にキャバ嬢は卒業しました。数年後正社員の給料だけでは足りずまた夜の仕事に戻りました。キャバクラでの経験もあるので夜の仕事に対する偏見は一切なく自分自身の中でも再び夜の仕事を始めることをすんなり受け入れられることができました。そのお店はキャバクラではなく会員制のスナックで派手なドレスもなくノルマや罰金も一切なかったので1年半ほど働くことができました。そしてそこで知り合った3歳年下のお客様とおつき合いするようになり結婚しました。彼との間にかわいい子どももできて今はとても幸せです。あの時勇気を出して夜の仕事を始めて良かったです。普段の生活では絶対出会うことのない高スペックな人と結婚できたのですから。,1,,仙台キャバクラの話,http://xn--ncke2h5c6a5349avph.jp/,1,0
,2,風俗のジャンル,aaaa,,風俗嬢の友人がいます。彼女から仕事の話をたまに聞くことがあるのですが風俗嬢の仕事が私が思っている以上に大変なものなんだなと思いました。友人はそのときのに来るお客様によってジャンルを変えてお仕事をするといいます。彼女が得意なのはＳＭコスプレオナクラだといいます。オナクラって何？と初めて聞く言葉だったのですがオナクラと行くのは男性のオナニーとするところを見るといったプレイになります。風俗初心者の方にはすごく優しいプレイとなりお給料も少ないのだとか。それでも普通にアルバイトをするよりはもらっているとの事。彼女のＳＭプレイはＳを担当していてＭな男の人の中ではすごく人気になっているそうです。ムチでたたいたりヒールであそこを気持ちよくしたりろうそくの蝋をたらしたりと過激に行うそうなのですが彼女自身はＳＭプレイされるのはＮＧなんだそうです。いじめられるのは嫌ですがいじめるのはすごく興奮するといいます。嫌がる人にはしませんが要求されれば全力でこたえると言います。コスプレプレイは毎回違う人物になりきることができるといいすごく楽しんでいるそうです。ここではＳＭプレイと違って彼女はリードされるほうがすきなんだとか。ここまで聞くと風俗嬢は女優なのではないかと思ってしまいます。でも毎日どんなプレイをするとお客様が喜んでくれるか常にお客様には飽きられないように努力をしていると言います。,1,,仙台のキャバクラについて,http://xn--ncke2h5c6a5349avph.jp/,1,0
,2,知り合いがデリヘルを経営していました。,tantei,,私の知り合いはデリヘルの経営をしています。決して違法なものではなくしっかりとビジネスとして経営をしています。たまに事務所掃除やタオルの洗濯などを手伝いに行っていました。私は風俗で働く女の子に偏見はなく事務所におじゃました日は女の子としゃべったり仲良くなった子もいます。ここで働く子にはやっぱり色んな子がいます。栄養士になりたいと学校に通いながら働いている子やお昼は普通に働いている方もいました。この道で何年もやっている子もいます。お店にはとても協力的で人がいないときは積極的に出勤してくれたりしていました。けど経営している知り合いでこの仕事で一番大変なのは働いてくれる女の子のケアだといっていました。１日でこなくなってしまう子もいれば突然来なくなってしまう子もたくさんいたそうです。未経験でこの仕事をして精神的に傷ついてしまったりお客さんに強引にせまられてしまったりして辛い思いをする子もいます。ただお金が欲しいと思って働いている子やこうでないと生活ができない子まで様々で私はこの仕事をしようと思ったことはありませんが働いている女の子は値段に見合ったしんどい思いをしていることを知りました。１人とても仲良くなった子とは一緒に飲みに行く関係にもなりました。彼女がここで働いている理由は彼と結婚したくてでもその彼は実家のある九州でお店を開くので一緒に行ってお店の手伝いをしたいからその資金を彼に内緒で働いて稼いでいるとのことでした。もうその頃の知り合いとは連絡をとってませんが貴重な体験でした。,1,,仙台キャバクラの話,http://xn--ncke2h5c6a5349avph.jp/,1,0
,11,デリヘルを超える便利な風俗が果たして今後生まれるのか,,,デリヘルほど利用者にとって都合が良くて便利な風俗サービスがあるんでしょうか。自宅またはホテルなどに連絡すれば女性が来てくれたりまたはどこかで待ち合わせをした上でカップルの体でホテルなどに向かうことが出来たりして性的なサービスを受けることができるわけですからこれまで悩まされてきた様々なことを解決してくれているわけです。店舗型の風俗店のメリットとしては店に行ってお金を払ってサービスを受けるだけであとは何もしなくていいということでしょう。自宅やホテルなどに呼ぶとなるとサービス内容によって自宅やホテルが汚れてしまうかもしれないですしそういう点ではケアが不要である店舗型は有利かもしれません。とはいえ一般的なプレイであれば自宅であってもホテルであってもそれほど汚れるようなことはないでしょうし彼氏彼女のような接し方であれば問題もないでしょう。なにより店舗型の弱点というとこちら側が交通手段などを用いて時間をかけて向って行った上に店舗に出入りする時に周囲の目が気になってしまったりもしかすると知り合いや友人などに見られてしまう可能性もゼロではないということです。その点デリヘルで自宅やホテルに直接来てもらえればこちらは外を出歩く必要はないですし周囲の目も気になりません。自宅に関しては近所の人の目が多少気になるかもしれませんが夜中の利用であったりインターホンを押さないようにしてもらったりすればある程度ばれる可能性を下げることができるはずです。サービスを受けた後も利用者は玄関まで送るだけですから誰にも見られずに済む上に手間がかからないというのはこれ以上利用者にとって楽なサービスがないように思えます。あとは連絡してから女性が来るまでのスピードアップであったり料金サービスの向上などが課題になってくるとは思いますがまだまだ進化していくことでしょう。,1,,仙台キャバクラはこちら,http://xn--ncke2h5c6a5349avph.jp/,1,0
